Title,Author,Year,Download Link,Language
"Cornell Studies in Classical Philology 65Euripides’ Revolution under Cover: An Essay 9781501700613, 1501700618",Pietro Pucci,2016,https://download.library.lol/main/2280000/420b7dcf3827d1bef36883fb1415296c/%28Cornell%20Studies%20in%20Classical%20Philology%2065%29%20Pietro%20Pucci%20-%20Euripides%E2%80%99%20Revolution%20under%20Cover_%20An%20Essay-Cornell%20University%20Press%20%282016%29.pdf,English
"Cambridge Greek and Latin classicsCicero: Select letters 9780521224925, 0521224926, 9780521295246, 0521295246","Shackleton Bailey, David Roy",2002,https://download.library.lol/main/2281000/e337ddcc5f9ef5a55592b0aa12cd5db4/%28Cambridge%20Greek%20and%20Latin%20classics%29%20Shackleton%20Bailey%2C%20David%20Roy%20-%20Cicero_%20Select%20letters-Cambridge%20University%20Press%20%282002%29.pdf,English
Vampire The Masquerade V5 - Anarch,Matthew Dawkins,2018,https://download.library.lol/main/2281000/9690a816f48f4940162267f27648e4d7/Matthew%20Dawkins%20-%20Vampire%20The%20Masquerade%20V5%20-%20Anarch%20%282018%29.pdf,English
NAThe Sense of Style: The Thinking Person’s Guide to Writing in the 21st Century,Steven Pinker,0,https://download.library.lol/main/2285000/dc3d0aa49b5c575a1a471410c63c6190/%28NA%29%20Steven%20Pinker%20-%20The%20Sense%20of%20Style_%20The%20Thinking%20Person%E2%80%99s%20Guide%20to%20Writing%20in%20the%2021st%20Century.pdf,English
"Cambridge Greek and Latin ClassicsCicero Catilinarians [1. publ. ed.] 9780521540438, 0521540437, 9780521832861, 0521832861","Dyck, Andrew R.",2008,https://download.library.lol/main/2288000/1cb7830a6b60b571b62694be07ba439e/%28Cambridge%20Greek%20and%20Latin%20Classics%29%20Dyck%2C%20Andrew%20R.%20-%20Cicero%20Catilinarians-Cambridge%20University%20Press%20%282008%29.pdf,English
"Trends in Classics - Supplementary Volumes 56They Keep It All Hid: Augustan Poetry, Its Antecedents and Reception [ebook ed.] 3110545705, 9783110545708",Peter Knox; Hayden Pelliccia; Alexander Sens,2018,https://download.library.lol/main/2288000/ee78d2cee6ab887e63e4f773eb91ab12/%28Trends%20in%20Classics%20-%20Supplementary%20Volumes%2056%29%20Peter%20Knox_%20Hayden%20Pelliccia_%20Alexander%20Sens%20-%20They%20Keep%20It%20All%20Hid_%20Augustan%20Poetry%2C%20Its%20Antecedents%20and%20Reception-de%20Gruyter%20%282018%29.pdf,English
"Loci Critici. Passages illustrative of critical theory and practice from Aristotle downwards. Selected, partly translated, and arranged with notes by G. Saintsbury.","Saintsbury, George",1903,https://download.library.lol/main/2288000/945a7e28e662b9500271fda815dd0ddb/Saintsbury%2C%20George%20-%20Loci%20Critici.%20Passages%20illustrative%20of%20critical%20theory%20and%20practice%20from%20Aristotle%20downwards.%20Selected%2C%20partly%20translated%2C%20and%20arranged%20with%20notes%20by%20G.%20Saintsbury.-Boston%2C%20U.S.A..pdf,English
"Toronto Medieval Bibliographies, 1Old Norse-Icelandic Studies: A Select Bibliography",Hans Bekker-Nielsen,1967,https://download.library.lol/main/2288000/43da473668fee0d1541736437831e87e/%28Toronto%20Medieval%20Bibliographies%2C%201%29%20Hans%20Bekker-Nielsen%20-%20Old%20Norse-Icelandic%20Studies_%20A%20Select%20Bibliography-University%20of%20Toronto%20Press%20%281967%29.pdf,English
"Old English Newsletter Subsidia, 36""Books Most Needful to Know"": Contexts for the Study of Anglo-Saxon England 1580441823,  9781580441827",Paul E Szarmach (ed.),2016,https://download.library.lol/main/2288000/f83f79f3de4d8d8baf97e4f3d58c8d5b/%28Old%20English%20Newsletter%20Subsidia%2C%2036%29%20Paul%20E%20Szarmach%20%28ed.%29%20-%20_Books%20Most%20Needful%20to%20Know__%20Contexts%20for%20the%20Study%20of%20Anglo-Saxon%20England-Western%20Michigan%20University%20%282016%29.pdf,English
"Toronto Old English Series, 15Early English Metre 080203831X,  9780802038319",Thomas A. Bredehoft,2005,https://download.library.lol/main/2288000/5dafd85e91e6117b910b52e260a76380/%28Toronto%20Old%20English%20Series%2C%2015%29%20Thomas%20A.%20Bredehoft%20-%20Early%20English%20Metre-University%20of%20Toronto%20Press%20%282005%29.pdf,English
"Columbia Studies in the Classical Tradition 43Plutarch’s Pragmatic Biographies: Lessons for Statesmen and Generals in the Parallel Lives [Hardcover ed.] 9004276602, 9789004276604",Susan Jacobs,2017,https://download.library.lol/main/2288000/e61d7b555021d1aeab351e5b1cb97b68/%28Columbia%20Studies%20in%20the%20Classical%20Tradition%2043%29%20Susan%20Jacobs%20-%20Plutarch%E2%80%99s%20Pragmatic%20Biographies_%20Lessons%20for%20Statesmen%20and%20Generals%20in%20the%20Parallel%20Lives-Brill%20Academic%20Pub%20%282017%29.pdf,English
"Biographical Dictionary of Japanese Literature [Hardcover ed.] 0870112538, 9780870112539",Sen’ichi Hisamatsu,1976,https://download.library.lol/main/2288000/b821f63b4407b2bb9ec95cd76c18d860/Sen%E2%80%99ichi%20Hisamatsu%20-%20Biographical%20Dictionary%20of%20Japanese%20Literature-Kodansha%20%281976%29.djvu,English
"Song of the Vikings: Snorri and the Making of Norse Myths 0230338844,  9780230338845",Nancy Marie Brown,2012,https://download.library.lol/main/2288000/4d13a834ac883cef3ba24f4f085a2f7c/Nancy%20Marie%20Brown%20-%20Song%20of%20the%20Vikings_%20Snorri%20and%20the%20Making%20of%20Norse%20Myths-Palgrave%20Macmillan%20%282012%29.epub,English
"Getting Into Character: Seven Secrets a Novelist Can Learn from Actors [EDITION 2] 0692438874, 9780692438879",Brandilyn Collins,2015,https://download.library.lol/main/2290000/a856f140bd96d15d8e5be75ba7706f11/Brandilyn%20Collins%20-%20Getting%20Into%20Character_%20Seven%20Secrets%20a%20Novelist%20Can%20Learn%20from%20Actors-Challow%20Press%20%282015%29.pdf,English
"Islandica, 59The Sagas of Norwegian Kings (1130-1265): An Introduction 093599520X,  9780935995206",Theodore M. Andersson,2016,https://download.library.lol/main/2365000/412a09ff9ca46e3521a9a6ca6e38172c/%28Islandica%2C%2059%29%20Theodore%20M.%20Andersson%20-%20The%20Sagas%20of%20Norwegian%20Kings%20%281130-1265%29_%20An%20Introduction-Cornell%20University%20Library%20%282016%29.pdf,English
"Islandica, 58New Norse Studies: Essays on the Literature and Culture of Medieval Scandinavia 0935995234,  9780935995237",Jeffrey Turco (ed.),2015,https://download.library.lol/main/2367000/01b4942fbf62e105b76305e7535a9ff6/%28Islandica%2C%2058%29%20Jeffrey%20Turco%20%28ed.%29%20-%20New%20Norse%20Studies_%20Essays%20on%20the%20Literature%20and%20Culture%20of%20Medieval%20Scandinavia-Cornell%20University%20Library%20%282015%29.pdf,English
"Nine Lies About Work: A Freethinking Leader’s Guide to the Real World [Hardcover ed.] 1633696308, 9781633696303",Marcus Buckingham; Ashley Goodall,2019,https://download.library.lol/main/2368000/49831164e6d9f2b6fc2e7655a626872d/Marcus%20Buckingham_%20Ashley%20Goodall%20-%20Nine%20Lies%20About%20Work_%20A%20Freethinking%20Leader%E2%80%99s%20Guide%20to%20the%20Real%20World-Harvard%20Business%20Review%20Press%20%282019%29.epub,English
The Letters of Emily Dickinson [1] 9780674526259,Emily Dickinson,1958,https://download.library.lol/main/2368000/3082e198c3e74852e4b0e308aa008e36/Emily%20Dickinson%20-%20The%20Letters%20of%20Emily%20Dickinson.%201-Belknap%20Press%20of%20Harvard%20University%20Press%20%281958%29.pdf,English
"Studies in Medieval Romance, 14Medieval Romance, Medieval Contexts 1843842602, 9781843842606","Rhiannon Purdie, Michael Cichon (eds.)",2011,https://download.library.lol/main/2369000/6b1f742497d964eb507353806f593d67/%28Studies%20in%20Medieval%20Romance%2C%2014%29%20Rhiannon%20Purdie%2C%20Michael%20Cichon%20%28eds.%29%20-%20Medieval%20Romance%2C%20Medieval%20Contexts-D.%20S.%20Brewer%20%282011%29.pdf,English
"Penguin ClassicsEyrbyggja Saga [Revised] 0140445307,  9780140445305","Hermann Pálsson, Paul Edwards (transl.)",1989,https://download.library.lol/main/2369000/dff02c8b9386134ce20a71314fbf17aa/%28Penguin%20Classics%29%20Hermann%20P%C3%A1lsson%2C%20Paul%20Edwards%20%28transl.%29%20-%20Eyrbyggja%20Saga-Penguin%20Books%20%281989%29.pdf,English
Milestones of Thought in the History of IdeasYwain: The Knight of the Lion,"Chrétien de Troyes, Robert W. Ackerman, Frederick W. Locke (transl.)",1957,https://download.library.lol/main/2370000/a05fbd72d8d595b4c7e02a262412c3ca/%28Milestones%20of%20Thought%20in%20the%20History%20of%20Ideas%29%20Chr%C3%A9tien%20de%20Troyes%2C%20Robert%20W.%20Ackerman%2C%20Frederick%20W.%20Locke%20%28transl.%29%20-%20Ywain_%20The%20Knight%20of%20the%20Lion-Frederick%20Ungar%20%281957%29.pdf,English
Madame Bovary [ebook ed.] 9780141966854,Gustave Flaubert; Lydia Davis,2010,https://download.library.lol/main/2370000/01f3901b6811913dfa179a15f7f71b20/Gustave%20Flaubert_%20Lydia%20Davis%20-%20Madame%20Bovary-ePenguin%20%282010%29.epub,English
"Everyman ClassicsArthurian Romances 0460116983,  9780460116985","Chrétien de Troyes, Douglas D. R. Owen (transl.)",1987,https://download.library.lol/main/2370000/7a4ced4df8ab4b6bdf51bbf62e9bcbde/%28Everyman%20Classics%29%20Chr%C3%A9tien%20de%20Troyes%2C%20Douglas%20D.%20R.%20Owen%20%28transl.%29%20-%20Arthurian%20Romances-J.%20M.%20Dent%20%26%20Sons%20%281987%29.pdf,English
"Penguin ClassicsArthurian Romances 0140445218,  9780140445213","Chrétien de Troyes, William W. Kibler, Carleton W. Carroll (transl.)",1991,https://download.library.lol/main/2370000/dbeacd2dc8c11064a12b0e46d41cf43a/%28Penguin%20Classics%29%20Chr%C3%A9tien%20de%20Troyes%2C%20William%20W.%20Kibler%2C%20Carleton%20W.%20Carroll%20%28transl.%29%20-%20Arthurian%20Romances-Penguin%20Books%20%281991%29.pdf,English
"University of Washington Publications in Language and Literature, 14Prowess and Charity in the Perceval of Chrétien de Troyes",David C. Fowler,1959,https://download.library.lol/main/2370000/29a6da7c2b5062227b9a6c88a0e540ea/%28University%20of%20Washington%20Publications%20in%20Language%20and%20Literature%2C%2014%29%20David%20C.%20Fowler%20-%20Prowess%20and%20Charity%20in%20the%20Perceval%20of%20Chre%CC%81tien%20de%20Troyes-University%20of%20Washington%20Press%20%281959%29.pdf,English
A Knyght There Was: The Evolution of the Knight in Literature,Charles Moorman,1967,https://download.library.lol/main/2370000/e9728908e21fb94fec99df2cf77826f7/Charles%20Moorman%20-%20A%20Knyght%20There%20Was_%20The%20Evolution%20of%20the%20Knight%20in%20Literature-University%20of%20Kentucky%20Press%20%281967%29.pdf,English
vol 1 of 2True Crime Stories 48 Terrifying True Crime Murder Cases (List of Twelve Collection Book 1),Ryan Becker,0,https://download.library.lol/main/2370000/cca43c6a3d836f62c5762dd28778c59f/%28vol%201%20of%202%29%20Ryan%20Becker%20-%20True%20Crime%20Stories%2048%20Terrifying%20True%20Crime%20Murder%20Cases%20%28List%20of%20Twelve%20Collection%20Book%201%29.epub,English
"Legenda, Legenda Main SeriesThe Extreme In-Between : Jean Paulhan’s Place in the Twentieth Century 978-1-904350-52-1  (hardback) / 978-1-351196-43-7 (Taylor & Francis ebook)",Anna-Louise Milne,2006,https://download.library.lol/main/2370000/9e32cb7228a5f003bf786204ec423797/%28Legenda%2C%20Legenda%20Main%20Series%29%20Anna-Louise%20Milne%20-%20The%20Extreme%20In-Between%20_%20Jean%20Paulhan%E2%80%99s%20Place%20in%20the%20Twentieth%20Century-Modern%20Humanities%20Research%20Association%20%26%20Maney%20Publishing%20_%20Routledge%20%282006%29.pdf,English
"Queer and Loathing: Rants and Raves of a Raging AIDS Clone 0140240802,  978-0140240801",David B. Feinberg,1995,https://download.library.lol/main/2371000/4aa81d78cf558ff8570d0c54e7a17fcc/David%20B.%20Feinberg%20-%20Queer%20and%20Loathing_%20Rants%20and%20Raves%20of%20a%20Raging%20AIDS%20Clone-Penguin%20Books%20%281995%29.epub,English
Making Sense. The Glamorous Story of English Grammar,David Crystal,2017,https://download.library.lol/main/2372000/d5b88828b16c2f40bcc05c923f01298b/David%20Crystal%20-%20Making%20Sense.%20The%20Glamorous%20Story%20of%20English%20Grammar-Oxford%20University%20Press%20%282017%29.epub,English
Evening in Byzantium,Irwin Shaw,2013,https://download.library.lol/main/1704000/94434de2ddfcd4c76b293ba13aa00222/Irwin%20Shaw%20-%20Evening%20in%20Byzantium-Open%20Road%20Integrated%20Media%20%282013%29.pdf,English
Nightwork,Irwin Shaw,2013,https://download.library.lol/main/1704000/7610cbddff06cb280c54a62a4ce62194/Irwin%20Shaw%20-%20Nightwork-Open%20Road%20Integrated%20Media%20%282013%29.epub,English
The Troubled Air,Irwin Shaw,2013,https://download.library.lol/main/1704000/686d8b86d9d07be2936ba8251fe5b6bf/Irwin%20Shaw%20-%20The%20Troubled%20Air-Open%20Road%20Integrated%20Media%20%282013%29.epub,English
Short Stories: Five Decades,Irwin Shaw,2013,https://download.library.lol/main/1704000/1448b42e8b1030b776482437196fbca4/Irwin%20Shaw%20-%20Short%20Stories_%20Five%20Decades-Open%20Road%20Integrated%20Media%20%282013%29.epub,English
Lucy Crown,Irwin Shaw,2013,https://download.library.lol/main/1704000/0203663e6541d394cb1d2152929e79d5/Irwin%20Shaw%20-%20Lucy%20Crown-Open%20Road%20Integrated%20Media%20%282013%29.epub,English
The Young Lions,Irwin Shaw,2013,https://download.library.lol/main/1704000/d6fd998acf5839cd89177b498dc9f77c/Irwin%20Shaw%20-%20The%20Young%20Lions-Open%20Road%20Integrated%20Media%20%282013%29.epub,English
Bread Upon the Waters,Irwin Shaw,2013,https://download.library.lol/main/1704000/b53a4de4a22c8a4d06a27afb9790c649/Irwin%20Shaw%20-%20Bread%20Upon%20the%20Waters-Open%20Road%20Integrated%20Media%20%282013%29.epub,English
The poetics of history : an analysis of Christine de Pizan’s Livre de la mutacion de fortune [PhD diss],Nadia Margolis,1977,https://download.library.lol/main/1706000/059bcff7b30acacc33a71f3f799b8c7b/Nadia%20Margolis%20-%20The%20poetics%20of%20history%20_%20an%20analysis%20of%20Christine%20de%20Pizan%E2%80%99s%20Livre%20de%20la%20mutacion%20de%20fortune%20%5BPhD%20diss%5D-Stanford%20University%20%281977%29.pdf,English
Pastiche in thirteenth-century French Arthurian verse romance [PhD diss],Sarah Elizabeth Gordon,2002,https://download.library.lol/main/1706000/3ecc3080377e4b15a95ebc4c62b1118c/Sarah%20Elizabeth%20Gordon%20-%20Pastiche%20in%20thirteenth-century%20French%20Arthurian%20verse%20romance%20%5BPhD%20diss%5D-Washington%20University%20%282002%29.pdf,English
Aspects of Christine de Pisan’s social and political ideas [PhD diss],Barbara P. Edmonds,1972,https://download.library.lol/main/1706000/ed373d7e20fa8be49b94366c3c3afda2/Barbara%20P.%20Edmonds%20-%20Aspects%20of%20Christine%20de%20Pisan%E2%80%99s%20social%20and%20political%20ideas%20%5BPhD%20diss%5D-University%20of%20Maryland%20%281972%29.pdf,English
"Moral posturing : body language, rhetoric, and the performance of identity in late medieval French and English conduct manuals [PhD diss]",Sharon Claire Mitchell,2007,https://download.library.lol/main/1707000/837ec76f83ec3d8a7cc473c23b54ae2a/Sharon%20Claire%20Mitchell%20-%20Moral%20posturing%20_%20body%20language%2C%20rhetoric%2C%20and%20the%20performance%20of%20identity%20in%20late%20medieval%20French%20and%20English%20conduct%20manuals%20%5BPhD%20diss%5D-Ohio%20State%20University%20%282007%29.pdf,English
"Early English Text Society, Extra Series, 80Lydgate’s Minor Poems. The Two Nightingale Poems. (A.D. 1446)",John Lydgate; Otto Glauning,1975,https://download.library.lol/main/1707000/61f4f652cf6911396c788346fb67429c/%28Early%20English%20Text%20Society%2C%20Extra%20Series%2C%2080%29%20John%20Lydgate_%20Otto%20Glauning%20-%20Lydgate%E2%80%99s%20Minor%20Poems.%20The%20Two%20Nightingale%20Poems.%20%28A.D.%201446%29-Kraus%20%281975%29.pdf,English
Artus de Bretaigne: a critical and literary study [thesis],Sarah Vivienne Spilsbury,1973,https://download.library.lol/main/1707000/3620c1cb613e907d6bdadb8be2059659/Sarah%20Vivienne%20Spilsbury%20-%20Artus%20de%20Bretaigne_%20a%20critical%20and%20literary%20study%20%5Bthesis%5D-University%20of%20Aberdeen%20%281973%29.pdf,English
Dreams in search of knowledge : the middle vision of Chaucer and his contemporaries [thesis],Steven F. Kruger,1988,https://download.library.lol/main/1707000/3105a0f731343c2f60236773db8accbd/Steven%20F.%20Kruger%20-%20Dreams%20in%20search%20of%20knowledge%20_%20the%20middle%20vision%20of%20Chaucer%20and%20his%20contemporaries%20%5Bthesis%5D-Stanford%20University%20%281988%29.pdf,English
The love of his life : the programmatic recurrence of the God Cupid in Ovid [thesis],Anne Wadlow Drogula,2012,https://download.library.lol/main/1707000/40a4612656ba86f119625454ce5d2405/Anne%20Wadlow%20Drogula%20-%20The%20love%20of%20his%20life%20_%20the%20programmatic%20recurrence%20of%20the%20God%20Cupid%20in%20Ovid%20%5Bthesis%5D-University%20of%20Virginia%20%282012%29.pdf,English
Donatus graecus : learning Greek from Antiquity to the Renaissance [thesis],Federica Ciccolella,2004,https://download.library.lol/main/1707000/976d63cc4e81822932416e1ebff4c7a7/Federica%20Ciccolella%20-%20Donatus%20graecus%20_%20learning%20Greek%20from%20Antiquity%20to%20the%20Renaissance%20%5Bthesis%5D-Columbia%20University%20%282004%29.pdf,English
"Questions of love : critical edition and study of the Demandes d’amour [thesis] 9780315858671, 0315858672",Margaret Felberg-Levitt,1991,https://download.library.lol/main/1707000/3aceb01a15fb7390238dd77809faa855/Margaret%20Felberg-Levitt%20-%20Questions%20of%20love%20_%20critical%20edition%20and%20study%20of%20the%20Demandes%20d%E2%80%99amour%20%5Bthesis%5D-Universit%C3%A9%20de%20Montr%C3%A9al%20%281991%29.pdf,English
Chaucer’s literary dreams : allegories of origin [thesis],Kathleen Maida Hewitt,1986,https://download.library.lol/main/1707000/d1756d00f86d4bff46d263696b78a184/Kathleen%20Maida%20Hewitt%20-%20Chaucer%E2%80%99s%20literary%20dreams%20_%20allegories%20of%20origin%20%5Bthesis%5D-University%20of%20California%20%281986%29.pdf,English
Heinrich Steinhöwel’s Esopus and the corpus of Aesopica in sixteenth-century Germany [thesis],Pack Carnes,1973,https://download.library.lol/main/1707000/9d42cc804bb01fd892221f03a194939f/Pack%20Carnes%20-%20Heinrich%20Steinh%C3%B6wel%E2%80%99s%20Esopus%20and%20the%20corpus%20of%20Aesopica%20in%20sixteenth-century%20Germany%20%5Bthesis%5D-University%20of%20California%20%281973%29.pdf,English
"Aesop’s pen: adaptation, authorship, and satire in the Aesopic tradition [thesis]",Jeremy B. Lefkowitz,2009,https://download.library.lol/main/1707000/1fab3e20e70b37ce6115b7089010f9f2/Jeremy%20B.%20Lefkowitz%20-%20Aesop%E2%80%99s%20pen_%20adaptation%2C%20authorship%2C%20and%20satire%20in%20the%20Aesopic%20tradition%20%5Bthesis%5D-University%20of%20Pennsylvania%20%282009%29.pdf,English
The romance of the Maccabees in mediaeval art and literature [thesis],Robert Leon McGrath,1963,https://download.library.lol/main/1707000/d7f1ed528cf9c3037e2fb2dfa35df92c/Robert%20Leon%20McGrath%20-%20The%20romance%20of%20the%20Maccabees%20in%20mediaeval%20art%20and%20literature%20%5Bthesis%5D-Princeton%20University%20%281963%29.pdf,English
Burlesque elements in Old French epic poetry [thesis],Gerald Andre Bertin,1953,https://download.library.lol/main/1707000/2576b481ebb17230b9fb8746fc63410b/Gerald%20Andre%20Bertin%20-%20Burlesque%20elements%20in%20Old%20French%20epic%20poetry%20%5Bthesis%5D-Columbia%20University%20%281953%29.pdf,English
Heroic uncertainties : representations of the hero in the French epic of the later Middle Ages [thesis],Jonathan Cayer,2012,https://download.library.lol/main/1707000/ac5199dda4de8a05bbd2d81968e949b5/Jonathan%20Cayer%20-%20Heroic%20uncertainties%20_%20representations%20of%20the%20hero%20in%20the%20French%20epic%20of%20the%20later%20Middle%20Ages%20%5Bthesis%5D-Yale%20University%20%282012%29.pdf,English
The Old-French Enfances epics and their audience [thesis],"Shen, Simpson Lucia",1982,https://download.library.lol/main/1707000/e740cf8f321a6a936a2773c03acd1533/Shen%2C%20Simpson%20Lucia%20-%20The%20Old-French%20Enfances%20epics%20and%20their%20audience%20%5Bthesis%5D-University%20of%20Pennsylvania%20%281982%29.pdf,English
From ekphrasis and the fantastic to commodity fetishism in the Roman de Thebes and Chretien de Troyes’ Erec et Enide [thesis],Sonja Nicole Mayrhofer,2010,https://download.library.lol/main/1707000/c6d1f0420d8f6054193caaa2d5c49639/Sonja%20Nicole%20Mayrhofer%20-%20From%20ekphrasis%20and%20the%20fantastic%20to%20commodity%20fetishism%20in%20the%20Roman%20de%20Thebes%20and%20Chretien%20de%20Troyes%E2%80%99%20Erec%20et%20Enide%20%5Bthesis%5D-University%20of%20Iowa%20%282010%29.pdf,English
A text transformed : prose textuality and notions of history in the thirteenth-century version of the Roman de Thèbes [thesis],Molly Margaret Lynde,1993,https://download.library.lol/main/1707000/b2877091dd99c002b86c122b999d7e85/Molly%20Margaret%20Lynde%20-%20A%20text%20transformed%20_%20prose%20textuality%20and%20notions%20of%20history%20in%20the%20thirteenth-century%20version%20of%20the%20Roman%20de%20Th%C3%A8bes%20%5Bthesis%5D-Indiana%20University%20%281993%29.pdf,English
"Illuminations of the ""Roman de Troie"" and French royal dynastic ambition (1260-1340) [thesis] 9780493661025, 0493661026",Elizabeth Morrison,2002,https://download.library.lol/main/1707000/847cd3d3b9afaeb3419e7f70c21bc8b1/Elizabeth%20Morrison%20-%20Illuminations%20of%20the%20_Roman%20de%20Troie_%20and%20French%20royal%20dynastic%20ambition%20%281260-1340%29%20%5Bthesis%5D-Cornell%20University%20%282002%29.pdf,English
"A regnal genealogy in trouble : the Trojan myth as a traumatic national historiography in medieval England [thesis] 9781124794112, 1124794115",Sophia Y. Liu,2011,https://download.library.lol/main/1707000/e2def4591e2a23f9a7bd06bb1d9801d8/Sophia%20Y.%20Liu%20-%20A%20regnal%20genealogy%20in%20trouble%20_%20the%20Trojan%20myth%20as%20a%20traumatic%20national%20historiography%20in%20medieval%20England%20%5Bthesis%5D-Indiana%20University%20%282011%29.pdf,English
Capaneus: Homer to Lydgate [phD thesis],Robert Nau,2005,https://download.library.lol/main/1707000/fed70e3e153e3edbb110599562a56f8b/Robert%20Nau%20-%20Capaneus_%20Homer%20to%20Lydgate%20%5BphD%20thesis%5D-McMaster%20University%20%282005%29.pdf,English
Chaucer and the medieval Statius [thesis],Paul Maurice Clogan,1961,https://download.library.lol/main/1707000/8043c609e210e4eb293adf575d29b34a/Paul%20Maurice%20Clogan%20-%20Chaucer%20and%20the%20medieval%20Statius%20%5Bthesis%5D-University%20of%20Illinois%20%281961%29.pdf,English
Violence in narrative : Imperium and identity in Roman epic [thesis],Alan John Heinrich,1996,https://download.library.lol/main/1707000/1abddff3478f92e4281e331d48b71426/Alan%20John%20Heinrich%20-%20Violence%20in%20narrative%20_%20Imperium%20and%20identity%20in%20Roman%20epic%20%5Bthesis%5D-State%20University%20of%20New%20York%20%281996%29.pdf,English
The Theme of Eteocles and Polynices: An Aspect of the Theban Legend [thesis],Edward William Pigman Jr,1976,https://download.library.lol/main/1707000/7b09393acef77f538ef247d30b19ca52/Edward%20William%20Pigman%20Jr%20-%20The%20Theme%20of%20Eteocles%20and%20Polynices_%20An%20Aspect%20of%20the%20Theban%20Legend%20%5Bthesis%5D-University%20of%20Illinois%20%281976%29.pdf,English
"A critical edition of the Roman de Thèbes with an introduction, notes and glossary [thesis]",Dana Phelps Ripley,1960,https://download.library.lol/main/1707000/c68156f08e0672d53e30cf5b478809a8/Dana%20Phelps%20Ripley%20-%20A%20critical%20edition%20of%20the%20Roman%20de%20Th%C3%A8bes%20with%20an%20introduction%2C%20notes%20and%20glossary%20%5Bthesis%5D-University%20of%20North%20Carolina%20%281960%29.pdf,English
"""Le Testament Villon"": structure ironique et langage dramatique [thesis]",Nicole Zreczny,1979,https://download.library.lol/main/1707000/e3ee6bec872dd3d4f1bb8e4d47b10878/Nicole%20Zreczny%20-%20_Le%20Testament%20Villon__%20structure%20ironique%20et%20langage%20dramatique%20%5Bthesis%5D-Northwestern%20University%20%281979%29.pdf,English
Le thème de l’obscénité dans la littérature française des douzième et treizième siècles [thesis],Gérard Marie Burger,1973,https://download.library.lol/main/1707000/9e82bb29d38a14f858b558ddc1a63a87/G%C3%A9rard%20Marie%20Burger%20-%20Le%20the%CC%80me%20de%20l%E2%80%99obsce%CC%81nite%CC%81%20dans%20la%20litte%CC%81rature%20franc%CC%A7aise%20des%20douzie%CC%80me%20et%20treizie%CC%80me%20sie%CC%80cles%20%5Bthesis%5D-Stanford%20University%20%281973%29.pdf,English
"The life and times of Chaucer 9781453203781, 1453203788",John Gardner,2010,https://download.library.lol/main/1707000/d09c47e0f9b3c0db175bf35aa0038004/John%20Gardner%20-%20The%20life%20and%20times%20of%20Chaucer-Open%20Road%20Integrated%20Media%20%282010%29.epub,English
Dreams of the end : apocalypticism in fourteenth and fifteenth century English secular vision poems [thesis],Lisa LeBlanc,2005,https://download.library.lol/main/1708000/4585aa6a9525f2ba34dc9c08e59e2b34/Lisa%20LeBlanc%20-%20Dreams%20of%20the%20end%20_%20apocalypticism%20in%20fourteenth%20and%20fifteenth%20century%20English%20secular%20vision%20poems%20%5Bthesis%5D-Catholic%20University%20of%20America%20%282005%29.pdf,English
The dream-vision in fifteenth-century English poetry [thesis],David N. DeVries,1991,https://download.library.lol/main/1708000/02e86f00907ac501b030c22d9f52acb1/David%20N.%20DeVries%20-%20The%20dream-vision%20in%20fifteenth-century%20English%20poetry%20%5Bthesis%5D-New%20York%20University%20%281991%29.pdf,English
Donatus Anglice : Ælfric’s Grammar and the making of the English language [thesis],Melinda Jill Menzer,1996,https://download.library.lol/main/1708000/d63c0ff2fa5ec9f8dc6768ee11d5fdcc/Melinda%20Jill%20Menzer%20-%20Donatus%20Anglice%20_%20%C3%86lfric%E2%80%99s%20Grammar%20and%20the%20making%20of%20the%20English%20language%20%5Bthesis%5D-University%20of%20Texas%20at%20Austin%20%281996%29.pdf,English
Latin education and secular German literature : an analysis of Latin grammar instruction and its influence on Middle High German poets [thesis],William Francis Carroll,1995,https://download.library.lol/main/1708000/eeeebf4d609c3742fab4df3983443bb8/William%20Francis%20Carroll%20-%20Latin%20education%20and%20secular%20German%20literature%20_%20an%20analysis%20of%20Latin%20grammar%20instruction%20and%20its%20influence%20on%20Middle%20High%20German%20poets%20%5Bthesis%5D-Harvard%20University%20%281995%29.pdf,English
Composing the classroom : imagining the medieval English grammar school [thesis],Kate Fedewa,2013,https://download.library.lol/main/1708000/f64c78dd638cf71fca4e65e905ef2317/Kate%20Fedewa%20-%20Composing%20the%20classroom%20_%20imagining%20the%20medieval%20English%20grammar%20school%20%5Bthesis%5D-University%20of%20Wisconsin%20%282013%29.pdf,English
William of Wheteley’s (fl. 1309-1316) commentary on the Pseudo Boethius’ tractate De disciplina scolarium and medieval grammar school education [thesis],Harry Francis Sebastian,1970,https://download.library.lol/main/1708000/dd4fe0cb9538442ae858163caddc1dab/Harry%20Francis%20Sebastian%20-%20William%20of%20Wheteley%E2%80%99s%20%28fl.%201309-1316%29%20commentary%20on%20the%20Pseudo%20Boethius%E2%80%99%20tractate%20De%20disciplina%20scolarium%20and%20medieval%20grammar%20school%20education%20%5Bthesis%5D-Columbia%20University%20%28.pdf,English
